epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
57,330.902,1.97134,2.87206,1.33085,1.19726,0,0.49591,0.49064,0.48086,0.2032,0.46088,0.50448,0.45422,0.16258,2.04442,2.99665,1.47416,1.41443,0,0.0009035,0.0009035,0.0009035
58,336.84,2.02143,2.97038,1.34269,1.221,0,0.45501,0.45429,0.41752,0.16472,0.42997,0.41157,0.3797,0.14309,2.1175,2.98039,1.54982,1.4625,0,0.000897313,0.000897313,0.000897313
59,342.736,1.95387,2.90868,1.31704,1.23735,0,0.49824,0.53449,0.4795,0.18683,0.52973,0.46428,0.44737,0.14964,2.1168,3.01979,1.45582,1.49073,0,0.000891125,0.000891125,0.000891125
60,348.458,1.97387,2.89934,1.30577,1.19882,0,0.48332,0.47678,0.45584,0.18797,0.4825,0.4554,0.43968,0.15712,2.13196,3.07037,1.54374,1.44656,0,0.000884938,0.000884938,0.000884938
61,354.291,1.94487,2.84158,1.25027,1.16838,0,0.53749,0.47128,0.47305,0.19884,0.51304,0.41225,0.42185,0.14718,2.14577,3.13919,1.53136,1.46874,0,0.00087875,0.00087875,0.00087875
62,360.345,1.95385,2.83156,1.29412,1.22125,0,0.49288,0.55046,0.49359,0.20254,0.45088,0.48684,0.43187,0.16584,2.12698,3.01585,1.41494,1.47375,0,0.000872563,0.000872563,0.000872563
63,366.052,1.97748,2.8444,1.32952,1.22506,0,0.56652,0.50873,0.51445,0.22835,0.54959,0.47561,0.47684,0.17137,2.15831,2.98373,1.43295,1.4784,0,0.000866375,0.000866375,0.000866375
64,371.82,1.94139,2.91858,1.31655,1.22232,0,0.49497,0.5209,0.44969,0.18961,0.47411,0.43327,0.42095,0.15399,2.12348,3.0636,1.53444,1.49111,0,0.000860188,0.000860188,0.000860188
65,377.64,1.96574,2.85761,1.28849,1.19731,0,0.48432,0.51717,0.4648,0.19101,0.51014,0.44674,0.43204,0.14932,2.07622,2.98186,1.48749,1.44963,0,0.000854,0.000854,0.000854
66,383.535,1.90661,2.80157,1.2592,1.19639,0,0.50732,0.4999,0.45901,0.19009,0.5067,0.4761,0.44662,0.15712,2.17236,3.04935,1.47401,1.50007,0,0.000847813,0.000847813,0.000847813
